RepositoryOwner;RepositoryName
freeCodeCamp;freeCodeCamp
996icu;996.ICU
EbookFoundation;free-programming-books
jwasham;coding-interview-university
vuejs;vue
kamranahmedse;developer-roadmap
sindresorhus;awesome
facebook;react
public-apis;public-apis
tensorflow;tensorflow
donnemartin;system-design-primer
twbs;bootstrap
getify;You-Dont-Know-JS
CyC2018;CS-Notes
ohmyzsh;ohmyzsh
flutter;flutter
trekhleb;javascript-algorithms
github;gitignore
TheAlgorithms;Python
danistefanovic;build-your-own-x
microsoft;vscode
torvalds;linux
airbnb;javascript
Snailclimb;JavaGuide
jackfrued;Python-100-Days
vinta;awesome-python
ytdl-org;youtube-dl
ossu;computer-science
jlevy;the-art-of-command-line
facebook;react-native
labuladong;fucking-algorithm
d3;d3
electron;electron
golang;go
facebook;create-react-app
axios;axios
30-seconds;30-seconds-of-code
justjavac;free-programming-books-zh_CN
nodejs;node
kubernetes;kubernetes
microsoft;terminal
denoland;deno
vercel;next.js
angular;angular
mrdoob;three.js
microsoft;TypeScript
ant-design;ant-design
puppeteer;puppeteer
mui-org;material-ui
animate-css;animate.css
PanJiaChen;vue-element-admin
goldbergyoni;nodebestpractices
avelino;awesome-go
tensorflow;models
iluwatar;java-design-patterns
awesome-selfhosted;awesome-selfhosted
MisterBooo;LeetCodeAnimation
laravel;laravel
storybookjs;storybook
FortAwesome;Font-Awesome
nvbn;thefuck
microsoft;PowerToys
vuejs;awesome-vue
gothinkster;realworld
yangshun;tech-interview-handbook
moby;moby
rust-lang;rust
django;django
tonsky;FiraCode
ryanmcdermott;clean-code-javascript
bitcoin;bitcoin
practical-tutorials;project-based-learning
webpack;webpack
angular;angular.js
doocs;advanced-java
Genymobile;scrcpy
spring-projects;spring-boot
opencv;opencv
typicode;json-server
apple;swift
hakimel;reveal.js
elastic;elasticsearch
pallets;flask
thedaviddias;Front-End-Checklist
reduxjs;redux
netdata;netdata
atom;atom
gohugoio;hugo
huggingface;transformers
trimstray;the-book-of-secret-knowledge
jquery;jquery
chartjs;Chart.js
expressjs;express
xingshaocheng;architect-awesome
socketio;socket.io
kdn251;interviews
macrozheng;mall
gin-gonic;gin
