"Age","Salary","YearsOfStudy","WorkExp","Location"
52,819,7,47,"EU"
51,1549,6,47,"EU"
51,1290,6,47,"EU"
66,1408,4,61,"EU"
51,1825,5,46,"US"
55,1486,5,51,"EU"
36,1981,8,32,"US"
54,2208,4,50,"US"
46,858,5,46,"EU"
46,1322,6,38,"EU"
52,1444,6,45,"EU"
50,1560,6,44,"EU"
40,2127,7,36,"US"
59,1646,5,53,"EU"
49,1911,7,40,"US"
45,1991,7,41,"US"
51,1001,6,45,"EU"
60,1347,4,57,"EU"
44,881,6,41,"EU"
70,2895,4,66,"US"
46,1266,5,41,"EU"
55,2227,5,49,"US"
57,1324,4,55,"EU"
50,2501,7,46,"US"
38,1667,8,29,"US"
51,946,5,47,"EU"
43,1431,7,34,"US"
51,1628,7,48,"EU"
44,620,6,41,"EU"
50,1711,5,44,"EU"
50,1378,6,47,"EU"
57,3131,5,50,"US"
55,1037,3,45,"EU"
54,1102,6,50,"EU"
39,1707,7,35,"US"
50,1243,6,47,"EU"
50,1656,6,44,"EU"
59,1350,4,52,"EU"
55,2499,5,52,"US"
57,1998,3,55,"EU"
47,1838,6,42,"US"
65,1950,4,63,"EU"
34,930,7,27,"US"
55,1760,5,52,"EU"
45,1517,8,42,"US"
61,2451,5,57,"US"
45,1690,7,37,"US"
64,2268,4,60,"US"
44,2126,7,39,"US"
38,670,8,32,"EU"
51,939,7,46,"EU"
34,955,8,29,"US"
52,1517,7,50,"EU"
65,2429,4,61,"US"
31,1005,9,29,"US"
60,1853,5,55,"EU"
43,475,7,38,"EU"
65,2709,3,61,"US"
56,2776,5,52,"US"
39,1581,7,35,"US"
37,2248,8,34,"US"
47,1533,6,43,"EU"
50,1060,6,45,"EU"
65,2975,3,55,"US"
49,1640,7,46,"EU"
49,804,7,41,"EU"
60,1509,4,53,"EU"
56,1291,6,51,"EU"
49,1426,7,41,"EU"
48,1446,5,47,"EU"
57,1481,6,50,"EU"
42,842,7,36,"EU"
34,1504,8,30,"US"
67,2424,5,65,"US"
35,957,9,31,"US"
45,2028,9,41,"US"
41,880,7,36,"EU"
51,1971,7,46,"US"
53,2565,7,47,"US"
30,865,9,25,"US"
56,2277,5,49,"US"
51,1326,6,43,"EU"
42,560,6,36,"EU"
31,937,8,27,"US"
60,1591,6,59,"EU"
48,1423,5,43,"EU"
55,1395,5,48,"EU"
58,1822,4,50,"EU"
62,2772,5,58,"US"
49,1719,6,41,"US"
47,1037,6,42,"EU"
64,2355,5,61,"US"
36,1649,9,31,"US"
52,564,6,45,"EU"
44,1286,6,41,"EU"
65,2432,3,60,"US"
45,1225,7,37,"US"
58,1403,5,52,"EU"
42,1043,7,35,"US"
31,1706,9,26,"US"
40,1991,8,32,"US"
62,2395,6,62,"US"
52,881,6,49,"EU"
55,2315,5,49,"US"
35,1160,7,27,"US"
53,858,5,46,"EU"
42,1453,8,39,"US"
51,1027,4,50,"EU"
64,1855,4,56,"EU"
54,1074,7,48,"EU"
52,1501,5,47,"EU"
58,1220,4,53,"EU"
53,636,7,44,"EU"
47,596,6,41,"EU"
48,1258,7,42,"EU"
